| Number | Topic                                  | Title                                                   |
| 79     | Trading Psychology                     | Trading Psychology and Quant Strategies                 |
| 80     | Copula-based Dependency                | Understanding Copula-based Dependency in Finance        |
| 81     | Jump-diffusion Models                  | Jump-diffusion Models in Option Pricing                 |
| 82     | K-means Clustering                     | K-means Clustering in Portfolio Management              |
| 83     | Spline Methods                         | Spline Methods for Curve Fitting in Finance             |
| 84     | Quants in Investment Banking           | Roles of Quants in Investment Banking                   |
| 85     | Interest Rate Swaps                    | Quantitative Analysis of Interest Rate Swaps            |
| 86     | Energy Derivatives                     | Quantitative Models for Energy Derivatives              |
| 87     | Exotic Options                         | Pricing Exotic Options: A Quantitative Guide            |
| 88     | Student-t Distribution                 | Student-t Distribution in Quant Finance                 |
| 89     | Forecasting Volatility                 | Forecasting Volatility: Models and Methods              |
| 90     | Career Paths                           | Career Paths in Quantitative Finance                    |
| 91     | PCA in Finance                         | Principal Component Analysis in Finance                 |
| 92     | ETF Mechanics                          | ETF Mechanics: Creation and Redemption                  |
| 93     | Trend Following                        | Trend Following Strategies: A Quantitative Approach     |
| 94     | Quantitative Momentum                  | Quantitative Momentum: Strategies and Metrics           |
| 95     | Socially Responsible Investing         | Quantitative Methods in Socially Responsible Investing  |
| 96     | Risk Parity                            | Understanding Risk Parity in Portfolio Management       |
| 97     | Commodity Trading                      | Quantitative Models for Commodity Trading               |
| 98     | Autocorrelation                        | Detecting Autocorrelation in Financial Time Series      |
| 99     | Machine Learning Series                | Machine Learning in Finance: A Multi-part Series        |
| 100    | Python for Quant Finance Series        | Python for Quant Finance: A Comprehensive Guide         |
